id	cited reference	citations	total link strength
27534	"nordestgaard at, 2015, int j epidemiol, v44, p551, doi 10.1093/ije/dyv083"	36	223
28127	"olthof mr, 2001, j nutr, v131, p66, doi 10.1093/jn/131.1.66"	21	109
28154	"onakpoya i, 2011, gastroent res pract, v2011, doi 10.1155/2011/382852"	24	165
28181	"ong kw, 2012, plos one, v7, doi 10.1371/journal.pone.0032718"	28	160
28182	"ong kw, 2013, biochem pharmacol, v85, p1341, doi 10.1016/j.bcp.2013.02.008"	36	234
29571	"phung oj, 2010, am j clin nutr, v91, p73, doi 10.3945/ajcn.2009.28157"	23	175
29869	"poole r, 2017, bmj-brit med j, v359, doi 10.1136/bmj.j5024"	42	207
29902	"popkin bm, 2012, nutr rev, v70, p3, doi 10.1111/j.1753-4887.2011.00456.x"	20	31
30577	"rains tm, 2011, j nutr biochem, v22, p1, doi 10.1016/j.jnutbio.2010.06.006"	25	125
30898	"reagan-shaw s, 2008, faseb j, v22, p659, doi 10.1096/fj.07-9574lsf"	21	96
31859	"rosengren a, 2004, j intern med, v255, p89, doi 10.1046/j.1365-2796.2003.01260.x"	20	140
31867	"roshan h, 2018, brit j nutr, v119, p250, doi 10.1017/s0007114517003439"	23	127
32048	"rudelle s, 2007, obesity, v15, p349, doi 10.1038/oby.2007.529"	22	212
32102	"rumpler w, 2001, j nutr, v131, p2848, doi 10.1093/jn/131.11.2848"	23	209
32450	"salazar-martinez e, 2004, ann intern med, v140, p1, doi 10.7326/0003-4819-140-1-200401060-00005"	31	212
32672	"santana-gálvez j, 2017, molecules, v22, doi 10.3390/molecules22030358"	20	119
32729	"santos rmm, 2016, eur j nutr, v55, p1345, doi 10.1007/s00394-016-1206-0"	37	254
34910	"song sj, 2014, evid-based compl alt, v2014, doi 10.1155/2014/718379"	24	189
36173	"tajik n, 2017, eur j nutr, v56, p2215, doi 10.1007/s00394-017-1379-1"	24	129
36789	"thom e, 2007, j int med res, v35, p900, doi 10.1177/147323000703500620"	42	270
37474	"tuomilehto j, 2004, jama-j am med assoc, v291, p1213, doi 10.1001/jama.291.10.1213"	20	119
37952	"van dam rm, 2002, lancet, v360, p1477, doi 10.1016/s0140-6736(02)11436-x"	39	239
37958	"van dam rm, 2005, jama-j am med assoc, v294, p97, doi 10.1001/jama.294.1.97"	46	227
38882	"wan cw, 2013, phytother res, v27, p545, doi 10.1002/ptr.4751"	20	143
39450	"watanabe t, 2006, clin exp hypertens, v28, p439, doi 10.1080/10641960600798655"	20	162
39516	"wedick nm, 2011, nutr j, v10, doi 10.1186/1475-2891-10-93"	22	112
39745	"westerterp-plantenga ms, 2005, obes res, v13, p1195, doi 10.1038/oby.2005.142"	35	318
40259	"wolfram s, 2006, mol nutr food res, v50, p176, doi 10.1002/mnfr.200500102"	31	210
42547	"zheng gd, 2004, in vivo, v18, p55"	31	148
42548	"zheng gd, 2014, brit j nutr, v112, p1034, doi 10.1017/s0007114514001652"	22	132
